"EFF_DATE","ARRIVAL_NAME","AMENDMENT_NO","ARTCC","STAR_AMEND_EFF_DATE","RNAV_FLAG","STAR_COMPUTER_CODE","SERVED_ARPT"
"2026/05/14","FORNY","THREE","ZFW","2021/06/17","Y","DODJE.FORNY3","DFW"
"2026/05/14","REEKO","THREE","ZFW","2016/05/26","Y","DODJE.REEKO3","50F AFW CPT DTO FTW FWS GKY GPM JWY LNC LUD NFW RBD WEA"
"2026/05/14","DOOBI","THREE","ZHU","2025/06/12","Y","DOOBI.DOOBI3","IAH"
"2026/05/14","SKNRD","FIVE","ZHU","2025/06/12","Y","DOOBI.SKNRD5","IAH"
"2026/05/14","DNGLE","ONE","ZOA","2026/03/19","Y","DPUTY.DNGLE1","RNO"
"2026/05/14","PHLBO","FOUR","ZNY","2023/04/20","Y","DQO.PHLBO4","EWR"
"2026/05/14","DSERT","TWO","ZAB","2014/11/13","Y","DSERT.DSERT2","CHD DVT FFZ GEU GYR IWA PHX SDL"
"2026/05/14","DSNEE","SIX","ZLA","2024/09/05","Y","DSNEE.DSNEE6","LGB SNA"
"2026/05/14","HAREI","ONE","ZDV","2025/04/17","Y","DUMBR.HAREI1","ASE RIL"
"2026/05/14","DUNNN","SIX","ZDV","2025/04/17","Y","DUNNN.DUNNN6","APA BJC"
"2026/05/14","DUUUK","FOUR","ZHU","2025/08/07","N","DUUUK.DUUUK4","IAH"
"2026/05/14","DVALL","FOUR","ZMA","2024/09/05","N","DVALL.DVALL4","FLL FXE HST MIA OPF PMP TMB"
"2026/05/14","DXEEE","THREE","ZHU","2022/07/14","Y","DXEEE.DXEEE3","AUS"
"2026/05/14","ALWYS","THREE","ZOA","2024/07/11","Y","DYAMD.ALWYS3","SFO"
"2026/05/14","DYAMD","FIVE","ZOA","2019/01/03","Y","DYAMD.DYAMD5","SFO"
"2026/05/14","SHLAE","ONE","ZHN","2020/01/30","Y","DYLLI.SHLAE1","HNL"
"2026/05/14","EAGUL","SIX","ZAB","2014/09/18","Y","EAGUL.EAGUL6","PHX"
"2026/05/14","EATZZ","ONE","ZLC","2024/07/11","Y","EATZZ.EATZZ1","BZN"
"2026/05/14","EEGOR","ONE","ZNY","2026/05/14","Y","EEGOR.EEGOR1","DXR HPN"
"2026/05/14","VAAIL","ONE","ZDV","2025/04/17","Y","ELDRA.VAAIL1","EGE"
"2026/05/14","ELLAM","FIVE","ZAN","2015/10/15","N","ELLAM.ELLAM5","ANC"
"2026/05/14","ELLENSBURG","FOUR","ZSE","2022/01/27","Y","ELN.ELN4","TCM"
"2026/05/14","EMMAS","ONE","ZAU","2024/01/25","Y","EMMAS.EMMAS1","RFD"
"2026/05/14","EMZOH","FOUR","ZOA","2025/06/12","Y","EMZOH.EMZOH4","HWD OAK"
"2026/05/14","ENCEE","THREE","ZMP","2023/08/10","Y","ENCEE.ENCEE3","ANE FCM LVN MIC STP"
"2026/05/14","ENDEE","EIGHT","ZAU","2025/08/07","Y","ENDEE.ENDEE8","MDW"
"2026/05/14","CENTRALIA","TWO","ZKC","2013/08/22","Y","ENL.ENL2","BLV"
"2026/05/14","ARLFT","TWO","ZDC ZNY","2021/08/12","Y","ENO.ARLFT2","33N DOV ILG"
"2026/05/14","PROUD","TWO","ZNY","2024/01/25","Y","ENO.PROUD2","LGA"
"2026/05/14","ERNNY","EIGHT","ZAU","2023/04/20","Y","ERNNY.ERNNY8","ORD"
"2026/05/14","ESSPO","FIVE","ZAU","2020/11/05","Y","ESSPO.ESSPO5","ORD"
"2026/05/14","PAATS","FOUR","ZNY","2023/04/20","Y","ESSSO.PAATS4","MQS PHL PNE TTN"
"2026/05/14","DMSTR","TWO","ZDC","2024/03/21","Y","ETBUY.DMSTR2","RDU"
"2026/05/14","OOSHN","FIVE","ZBW","2017/10/12","Y","EURRO.OOSHN5","BOS"
"2026/05/14","FALCO","FIVE","ZAN","2012/05/31","N","FALCO.FALCO5","EIL"
"2026/05/14","FARMR","THREE","ZKC","2017/03/02","Y","FARMR.FARMR3","ALN BLV CPS"
"2026/05/14","FASTO","TWO","ZLA","2017/01/05","N","FASTO.FASTO2","BFL"
"2026/05/14","FEVTA","ONE","ZOA","2026/05/14","Y","FEVTA.FEVTA1","SMF"
"2026/05/14","FERNANDO","SEVEN","ZLA","2016/11/10","N","FIM.FERN7","BUR SMO VNY"
"2026/05/14","MOORPARK","FOUR","ZLA","2016/09/15","N","FIM.MOOR4","LAX"
"2026/05/14","CRIKT","ONE","ZFW","2016/03/31","Y","FINGR.CRIKT1","DAL"
